,question,a,b,c,d,e,correct
208,"
Неправильно утворено форму слова у варіанті
",їздити по понеділкам,вісім десятих кілограма,виголосить промову,задля спільної вигоди,,a
209,"
Неправильно побудовано речення
",Князь Святослав був мудрим і хоробрим полководцем.,Козаки були озброєні пістолями й мушкетами.,Авторами стрілецьких пісень часто є невідомі поети й композитори.,У полон узяли двох генералів й один документ.,,d
210,"
Прочитайте текст і виконайте завдання
(1) Навесні ми часто блукали сонячними пагорбами поміж торішнім листям визбируючи перші не/сміливі фіалки, вдихали міцний і п’янкий дух землі. (2) А коли забуяв зеленню травень, заквітчав широкі, не/приховані від людського ока луги ромашками, усе наче потонуло в білому морі, якому не/ має кінця-краю. (3) Ковтаєш трепетний запах квітів, і тебе вабить кудись у не/звідане. (4) А згори ніжно припікає сонечко, у чистому прозорому небі — ні хмаринки, тільки лине […] пісня жайворонка.
У четвертому реченні пропущено слово
",гамірна,чарівна,свавільна,нечутна,,b
211,"
Прочитайте текст і виконайте завдання
(1) Навесні ми часто блукали сонячними пагорбами поміж торішнім листям визбируючи перші не/сміливі фіалки, вдихали міцний і п’янкий дух землі. (2) А коли забуяв зеленню травень, заквітчав широкі, не/приховані від людського ока луги ромашками, усе наче потонуло в білому морі, якому не/ має кінця-краю. (3) Ковтаєш трепетний запах квітів, і тебе вабить кудись у не/звідане. (4) А згори ніжно припікає сонечко, у чистому прозорому небі — ні хмаринки, тільки лине […] пісня жайворонка.
Окремо в цьому тексті пишеться сполука слів
",не/сміливі,не/приховані,не/має,не/звідане,,b
212,"
Прочитайте текст і виконайте завдання
(1) Навесні ми часто блукали сонячними пагорбами поміж торішнім листям визбируючи перші не/сміливі фіалки, вдихали міцний і п’янкий дух землі. (2) А коли забуяв зеленню травень, заквітчав широкі, не/приховані від людського ока луги ромашками, усе наче потонуло в білому морі, якому не/ має кінця-краю. (3) Ковтаєш трепетний запах квітів, і тебе вабить кудись у не/звідане. (4) А згори ніжно припікає сонечко, у чистому прозорому небі — ні хмаринки, тільки лине […] пісня жайворонка.
Простим є речення
",перше,друге,третє,четверте,,a
213,"
Прочитайте текст і виконайте завдання
(1) Навесні ми часто блукали сонячними пагорбами поміж торішнім листям визбируючи перші не/сміливі фіалки, вдихали міцний і п’янкий дух землі. (2) А коли забуяв зеленню травень, заквітчав широкі, не/приховані від людського ока луги ромашками, усе наче потонуло в білому морі, якому не/ має кінця-краю. (3) Ковтаєш трепетний запах квітів, і тебе вабить кудись у не/звідане. (4) А згори ніжно припікає сонечко, у чистому прозорому небі — ні хмаринки, тільки лине […] пісня жайворонка.
Пунктуаційну помилку допущено в реченні
",першому,другому,третьому,четвертому,,a
214,"
Однакова кількість звуків і букв у всіх словах рядка
","заїжджати, щирість, їстоньки","дзвонити, п’ятниць, український","йодистий, з’єднування, сьогодення","сприйнятий, щебечуть, джміль","висаджують, зозулястий, перемивають",a
215,"
Лексично неправильне словосполучення утворить слово «навичка» з прикметником
",рухова,шкідлива,практична,граматична,життєва,b
216,"
Прочитайте уривок.  З(1)поміж українських архітекторів варто відзначити Івана Левинського. За сорока(2)літню діяльність ним були зведені сотні будівель житлово(3)побутового та громадського призначення. Усе, створене ним, дивує, бо до будь(4)якої праці він підходив по(5)господарськи.Дефіс треба ставити на місці всіх цифр, ОКРІМ
",з..поміж,сорока..літню,житлово..побутового,будь..якої,по..господарськи,b
217,"
М’який знак на місці пропуску НЕ треба писати в усіх словах рядка
","лял..чин, кін..чик, щас..тя","совіс..тю, близ..ко, американ..ський","ковз..кий, камін..чик, сер..йозний","познач..мо, кин..мо, ріж..мо","л..лється, секретар.., пол..ський",c
218,"
Подвоєні літери треба писати в усіх словах рядка
","радіст..ю, нездолáн..ий, зіл..я","зван..я, жовч..ю, розрізан..ий","завдан..я, велич..ю, старан..о","зроблен..ий, забут..я, с..авець","піч..ю, стоптан..ий, священ..е",c
219,"
Правильно утворено всі імена по батькові в рядку
","Юрійович, Петрівна, Валерієвич","В’ячеславівна, Євгенович, Кузьмич","Святославович, Матвійович, Ігоревна","Іванівна, Іллінічна, Геннадійович","Арсенівна, Яківович, Романівна",b
220,"
Форми ступенів порівняння можна утворити від усіх прикметників рядка
","кругленький, смачний, щирий","красивий, яскравий, лисий","широкий, гнідий, бадьорий","скромний, малий, солодкий","здоровенний, вигідний, злий",d
221,"
Граматично правильна відповідь на запитання «Котра година?»
",дванадцять тридцять,половина дев’ятої,десять хвилин першої,без двадцяти десять,за п’ять одинадцята,e
222,"
Правильно вжито дієслівну форму в реченні
",Чи ти дасиш мені олівець?,Стань у центрі кімнати.,Парламент ухвале це рішення.,Давай зустрінемся о шостій.,Ходімте на вулицю.,b
223,"
Неправильно вжито прийменник у реченні
",Пожежа спалахнула через недотримання елементарних норм безпеки.,Уважно прочитайте інформацію про розмір ввізного мита.,Один з енергоблоків електростанції зупинили на вимогу екологів.,Школярі знову мають вимушені канікули із-за лютих морозів.,У нашій школі вже кілька років поспіль працює дебатний клуб.,d
224,"
Розділові знаки при передачі чужої мови правильно вжито в реченні
",Літо в осені питає: де ти поділа журавлів.,"До булави треба голови!, казали запорожці.","Ой казали, говорили по всім селі люди — «Та вже з того козаченька нічого не буде!»","«Опізнився, небораче, одказав земляк йому, хто кохав життя ледаче, непереливки тому».","«Дозвольте і мені, панове, річ держать!» — тут обізвалася Лисиця.",e
225,"
Відокремленим означенням можна замінити підрядне речення в рядку
","Олесь, який плив поруч, допоміг мені вийти на берег.","Подвір’я затінює крислата яблуня, що росте під хатою.","Огірок, що зжовк на сонці, був дуже несмачний.","Думки, які роїлися в хлопцевій голові, не давали заснути.","Пасічник дав скуштувати меду, що пахнув липою.",c
226,"
Складнопідрядне речення з підрядним умови утвориться, якщо до частини «На цих вихідних ми обов’язково поїдемо до Києва…» додати
",незважаючи на люті морози.,якщо купимо квитки на потяг.,бо вже скучили за рідним містом.,так що обов’язково відвідаємо Поділ.,щоб краще дізнатися історію столиці.,b
227,"
Прочитайте текст (цифри в дужках позначають номери рядків) і виконайте завдання
Вже треті півні проспівали... 
(1–4) Кожен народ має свої звичаї, сфокусовані на етнічну специфіку. Але останнім часом відбулася відчутна девальвація — потужні країни з міцним корінням традицій «нав’язали» нам свої обряди, котрі значною мірою відрізняються від наших.
(5–8) Нині ледве не в усьому світі символи року позначаються китайською демонологією. Літолік символізують то «дерев’яна мавпа», то «вогняний дракон», то «білий тигр». Натомість єдиний птах у цьому ряду — півень, один з найулюбленіших для українців пернатих.
(9–15) Аби не бути голослівним, згадаймо наші національні традиції. Ще до впровадження християнства наші пращури віддавали цій птасі особливу шану. Якщо в інших народів (зокрема й сусідів-слов’ян) приносили в жертву своїм богам велетенських тварин, а подекуди й людей, то наші дайбожичі на величні свята — лише півнів. Один з літописів засвідчив, що вої на чолі з київським князем Ігорем, пропливаючи на човнах повз Хортицю, зупинялися біля священного капища й залишали півня.
(16–19) Півень як жертва виступає в казках, скажімо, у добре відомій оповіді про Котика й Півника: «Несе мене Лиска за темнії ліси, за синєє море, за крутії гори», — плаче-голосить Півник. У казках відобразилась ідея жертовності заради вічності життя, підтримання усталеного порядку.
(20–25) Чим же заслужив таку шану пернатий? Наші пращури вірили, що півень слугує надійним оберегом у господарстві — «якщо його бракує, то обов’язково заведеться сатана». У дохристиянських віруваннях уважалося, що когут народився з «мертвого» яйця, і тому він, обранець сонячного бога, щодосвіта викликає денне світло. Саме з цією метою люди вважали за обов’язок тримати в господарстві цю провісну птаху.
(26–34) Українці вірили, що чорні сили правують од півночі й до півнячого співу. Щойно зачується кукурікання — зникає всяка нечисть. Не випадково зберігся давній звичай: коли зводили нову оселю, то перед уходинами до світлиці запускали на ніч когута. Це символізувало, що досвітковий півнячий голос вижене з помешкання нечисту силу, а відтак родина убезпечиться від усіляких негараздів. Тому не дивно, що фронтони на дахах прикрашали різьбленими оберегами цієї птахи; їх вишивали й на рушниках, котрі вивішували над вхідними дверима, а почасти й на покуті, бо, як мовить народна приказка, «без півня і хата глуха».
(35–39) Аж ніяк не всі знають, що чумаки, вирушаючи в Крим по сіль, обов’язково брали з собою й когута. Він не лише вважався охоронцем од нечистої сили, а й був своєрідним будильником, — як птаха проспівала, мандрівники тут же знімали намети й вирушали в дорогу. До речі, у давніші часи, коли не вистачало годинників, досвіток визначали за півнячим кукуріканням.
(40–44) Образ птахи трапляється і в дитячому фольклорі. Пам’ятаєте віршик: «Два півники, два півники горох молотили...»? У казках півень виступає не тільки добрим господарем, але й ревним охоронцем свого чада від підступної лисиці. Не випадково найпопулярнішою іграшкою були півники- свистунці, що їх повсюди в Україні виліплювали з глини народні майстри.
(45–51) Нарешті, півні вважаються своєрідними провісниками й синоптиками. Селяни знали: якщо когут часто кукурікає біля вікна, то це вірна прикмета, що хтось із домашніх помре; коли ж на порозі — прийдуть несподівані гості. На них варто чекати й тоді, коли домашній охоронець обійде довкіл хати та прокукурікає: у який бік спрямує дзьоба, звідтіля і з’являться погостювальники. За таких випадків приказували: «Якщо дорогий гість, то нехай тобі буде золотий хвіст, а якщо буде поганий гість, то нехай одпаде і той хвіст».
(52–56) Загалом, господарі намагались обзавестися домашнім охоронцем, щоб він мав доброчинне оперення, адже кольорова символіка багато важила в українській міфології. Щоби домашній охоронець приносив злагоду та добробут, господарі намагалися обзавестися півнем не будь-якого кольору, а певного оперення — переважно золотавого.
(57–60) Будемо сподіватися, півник і далі приноситиме нам щастя, бо щодосвіта голосисто оповіщатиме нас про народження світлого дня. Одна з народних загадок рече: «Двічі родився, ні разу не хрестився, а чорт його боїться». Так воно й буде!
За В. Скуратівським, журнал «Берегиня»
600 слів
Аргументами до думки про те, що півень є одним з найулюбленіших птахів українців, можна вважати всі судження, ОКРІМ
","«Якщо в інших народів (зокрема й сусідів-слов’ян) приносили в жертву своїм богам велетенських тварин, а подекуди й людей, то наші дайбожичі на величні свята — лише півнів» (рядки 11–13).","«У казках півень виступає не тільки добрим господарем, але й ревним охоронцем свого чада від підступної лисиці» (рядки 41–43).","«Щоби домашній охоронець приносив злагоду та добробут, господарі намагалися обзавестися півнем не будь-якого кольору, а певного оперення — переважно золотавого» (рядки 54–56).","«…чумаки, вирушаючи в Крим по сіль, обов’язково брали з собою й когута» (рядки 35–36).",,c
228,"
Прочитайте текст (цифри в дужках позначають номери рядків) і виконайте завдання
Вже треті півні проспівали... 
(1–4) Кожен народ має свої звичаї, сфокусовані на етнічну специфіку. Але останнім часом відбулася відчутна девальвація — потужні країни з міцним корінням традицій «нав’язали» нам свої обряди, котрі значною мірою відрізняються від наших.
(5–8) Нині ледве не в усьому світі символи року позначаються китайською демонологією. Літолік символізують то «дерев’яна мавпа», то «вогняний дракон», то «білий тигр». Натомість єдиний птах у цьому ряду — півень, один з найулюбленіших для українців пернатих.
(9–15) Аби не бути голослівним, згадаймо наші національні традиції. Ще до впровадження християнства наші пращури віддавали цій птасі особливу шану. Якщо в інших народів (зокрема й сусідів-слов’ян) приносили в жертву своїм богам велетенських тварин, а подекуди й людей, то наші дайбожичі на величні свята — лише півнів. Один з літописів засвідчив, що вої на чолі з київським князем Ігорем, пропливаючи на човнах повз Хортицю, зупинялися біля священного капища й залишали півня.
(16–19) Півень як жертва виступає в казках, скажімо, у добре відомій оповіді про Котика й Півника: «Несе мене Лиска за темнії ліси, за синєє море, за крутії гори», — плаче-голосить Півник. У казках відобразилась ідея жертовності заради вічності життя, підтримання усталеного порядку.
(20–25) Чим же заслужив таку шану пернатий? Наші пращури вірили, що півень слугує надійним оберегом у господарстві — «якщо його бракує, то обов’язково заведеться сатана». У дохристиянських віруваннях уважалося, що когут народився з «мертвого» яйця, і тому він, обранець сонячного бога, щодосвіта викликає денне світло. Саме з цією метою люди вважали за обов’язок тримати в господарстві цю провісну птаху.
(26–34) Українці вірили, що чорні сили правують од півночі й до півнячого співу. Щойно зачується кукурікання — зникає всяка нечисть. Не випадково зберігся давній звичай: коли зводили нову оселю, то перед уходинами до світлиці запускали на ніч когута. Це символізувало, що досвітковий півнячий голос вижене з помешкання нечисту силу, а відтак родина убезпечиться від усіляких негараздів. Тому не дивно, що фронтони на дахах прикрашали різьбленими оберегами цієї птахи; їх вишивали й на рушниках, котрі вивішували над вхідними дверима, а почасти й на покуті, бо, як мовить народна приказка, «без півня і хата глуха».
(35–39) Аж ніяк не всі знають, що чумаки, вирушаючи в Крим по сіль, обов’язково брали з собою й когута. Він не лише вважався охоронцем од нечистої сили, а й був своєрідним будильником, — як птаха проспівала, мандрівники тут же знімали намети й вирушали в дорогу. До речі, у давніші часи, коли не вистачало годинників, досвіток визначали за півнячим кукуріканням.
(40–44) Образ птахи трапляється і в дитячому фольклорі. Пам’ятаєте віршик: «Два півники, два півники горох молотили...»? У казках півень виступає не тільки добрим господарем, але й ревним охоронцем свого чада від підступної лисиці. Не випадково найпопулярнішою іграшкою були півники- свистунці, що їх повсюди в Україні виліплювали з глини народні майстри.
(45–51) Нарешті, півні вважаються своєрідними провісниками й синоптиками. Селяни знали: якщо когут часто кукурікає біля вікна, то це вірна прикмета, що хтось із домашніх помре; коли ж на порозі — прийдуть несподівані гості. На них варто чекати й тоді, коли домашній охоронець обійде довкіл хати та прокукурікає: у який бік спрямує дзьоба, звідтіля і з’являться погостювальники. За таких випадків приказували: «Якщо дорогий гість, то нехай тобі буде золотий хвіст, а якщо буде поганий гість, то нехай одпаде і той хвіст».
(52–56) Загалом, господарі намагались обзавестися домашнім охоронцем, щоб він мав доброчинне оперення, адже кольорова символіка багато важила в українській міфології. Щоби домашній охоронець приносив злагоду та добробут, господарі намагалися обзавестися півнем не будь-якого кольору, а певного оперення — переважно золотавого.
(57–60) Будемо сподіватися, півник і далі приноситиме нам щастя, бо щодосвіта голосисто оповіщатиме нас про народження світлого дня. Одна з народних загадок рече: «Двічі родився, ні разу не хрестився, а чорт його боїться». Так воно й буде!
За В. Скуратівським, журнал «Берегиня»
600 слів
Знецінення українських національних традицій пояснено в тексті реченням
",«…потужні країни з міцним корінням традицій «нав’язали» нам свої обряди…» (рядки 2–3).,«Нині ледве не в усьому світі символи року позначаються китайською демонологією» (рядки 5–6).,"«Аби не бути голослівним, згадаймо наші національні традиції» (рядок 9).",«…в інших народів (зокрема й сусідів-слов’ян) приносили в жертву своїм богам велетенських тварин…» (рядки 11–12).,,a
229,"
Прочитайте текст (цифри в дужках позначають номери рядків) і виконайте завдання
Вже треті півні проспівали... 
(1–4) Кожен народ має свої звичаї, сфокусовані на етнічну специфіку. Але останнім часом відбулася відчутна девальвація — потужні країни з міцним корінням традицій «нав’язали» нам свої обряди, котрі значною мірою відрізняються від наших.
(5–8) Нині ледве не в усьому світі символи року позначаються китайською демонологією. Літолік символізують то «дерев’яна мавпа», то «вогняний дракон», то «білий тигр». Натомість єдиний птах у цьому ряду — півень, один з найулюбленіших для українців пернатих.
(9–15) Аби не бути голослівним, згадаймо наші національні традиції. Ще до впровадження християнства наші пращури віддавали цій птасі особливу шану. Якщо в інших народів (зокрема й сусідів-слов’ян) приносили в жертву своїм богам велетенських тварин, а подекуди й людей, то наші дайбожичі на величні свята — лише півнів. Один з літописів засвідчив, що вої на чолі з київським князем Ігорем, пропливаючи на човнах повз Хортицю, зупинялися біля священного капища й залишали півня.
(16–19) Півень як жертва виступає в казках, скажімо, у добре відомій оповіді про Котика й Півника: «Несе мене Лиска за темнії ліси, за синєє море, за крутії гори», — плаче-голосить Півник. У казках відобразилась ідея жертовності заради вічності життя, підтримання усталеного порядку.
(20–25) Чим же заслужив таку шану пернатий? Наші пращури вірили, що півень слугує надійним оберегом у господарстві — «якщо його бракує, то обов’язково заведеться сатана». У дохристиянських віруваннях уважалося, що когут народився з «мертвого» яйця, і тому він, обранець сонячного бога, щодосвіта викликає денне світло. Саме з цією метою люди вважали за обов’язок тримати в господарстві цю провісну птаху.
(26–34) Українці вірили, що чорні сили правують од півночі й до півнячого співу. Щойно зачується кукурікання — зникає всяка нечисть. Не випадково зберігся давній звичай: коли зводили нову оселю, то перед уходинами до світлиці запускали на ніч когута. Це символізувало, що досвітковий півнячий голос вижене з помешкання нечисту силу, а відтак родина убезпечиться від усіляких негараздів. Тому не дивно, що фронтони на дахах прикрашали різьбленими оберегами цієї птахи; їх вишивали й на рушниках, котрі вивішували над вхідними дверима, а почасти й на покуті, бо, як мовить народна приказка, «без півня і хата глуха».
(35–39) Аж ніяк не всі знають, що чумаки, вирушаючи в Крим по сіль, обов’язково брали з собою й когута. Він не лише вважався охоронцем од нечистої сили, а й був своєрідним будильником, — як птаха проспівала, мандрівники тут же знімали намети й вирушали в дорогу. До речі, у давніші часи, коли не вистачало годинників, досвіток визначали за півнячим кукуріканням.
(40–44) Образ птахи трапляється і в дитячому фольклорі. Пам’ятаєте віршик: «Два півники, два півники горох молотили...»? У казках півень виступає не тільки добрим господарем, але й ревним охоронцем свого чада від підступної лисиці. Не випадково найпопулярнішою іграшкою були півники- свистунці, що їх повсюди в Україні виліплювали з глини народні майстри.
(45–51) Нарешті, півні вважаються своєрідними провісниками й синоптиками. Селяни знали: якщо когут часто кукурікає біля вікна, то це вірна прикмета, що хтось із домашніх помре; коли ж на порозі — прийдуть несподівані гості. На них варто чекати й тоді, коли домашній охоронець обійде довкіл хати та прокукурікає: у який бік спрямує дзьоба, звідтіля і з’являться погостювальники. За таких випадків приказували: «Якщо дорогий гість, то нехай тобі буде золотий хвіст, а якщо буде поганий гість, то нехай одпаде і той хвіст».
(52–56) Загалом, господарі намагались обзавестися домашнім охоронцем, щоб він мав доброчинне оперення, адже кольорова символіка багато важила в українській міфології. Щоби домашній охоронець приносив злагоду та добробут, господарі намагалися обзавестися півнем не будь-якого кольору, а певного оперення — переважно золотавого.
(57–60) Будемо сподіватися, півник і далі приноситиме нам щастя, бо щодосвіта голосисто оповіщатиме нас про народження світлого дня. Одна з народних загадок рече: «Двічі родився, ні разу не хрестився, а чорт його боїться». Так воно й буде!
За В. Скуратівським, журнал «Берегиня»
600 слів
У тексті немає відповіді на запитання
",Яких тварин приносили в жертву своїм богам наші пращури?,Як півень може відганяти злі сили й рятувати житло від негараздів?,Чому півень — єдиний птах серед тварин китайського гороскопу?,Чому шанували півня давні українці?,,c
230,"
Прочитайте текст (цифри в дужках позначають номери рядків) і виконайте завдання
Вже треті півні проспівали... 
(1–4) Кожен народ має свої звичаї, сфокусовані на етнічну специфіку. Але останнім часом відбулася відчутна девальвація — потужні країни з міцним корінням традицій «нав’язали» нам свої обряди, котрі значною мірою відрізняються від наших.
(5–8) Нині ледве не в усьому світі символи року позначаються китайською демонологією. Літолік символізують то «дерев’яна мавпа», то «вогняний дракон», то «білий тигр». Натомість єдиний птах у цьому ряду — півень, один з найулюбленіших для українців пернатих.
(9–15) Аби не бути голослівним, згадаймо наші національні традиції. Ще до впровадження християнства наші пращури віддавали цій птасі особливу шану. Якщо в інших народів (зокрема й сусідів-слов’ян) приносили в жертву своїм богам велетенських тварин, а подекуди й людей, то наші дайбожичі на величні свята — лише півнів. Один з літописів засвідчив, що вої на чолі з київським князем Ігорем, пропливаючи на човнах повз Хортицю, зупинялися біля священного капища й залишали півня.
(16–19) Півень як жертва виступає в казках, скажімо, у добре відомій оповіді про Котика й Півника: «Несе мене Лиска за темнії ліси, за синєє море, за крутії гори», — плаче-голосить Півник. У казках відобразилась ідея жертовності заради вічності життя, підтримання усталеного порядку.
(20–25) Чим же заслужив таку шану пернатий? Наші пращури вірили, що півень слугує надійним оберегом у господарстві — «якщо його бракує, то обов’язково заведеться сатана». У дохристиянських віруваннях уважалося, що когут народився з «мертвого» яйця, і тому він, обранець сонячного бога, щодосвіта викликає денне світло. Саме з цією метою люди вважали за обов’язок тримати в господарстві цю провісну птаху.
(26–34) Українці вірили, що чорні сили правують од півночі й до півнячого співу. Щойно зачується кукурікання — зникає всяка нечисть. Не випадково зберігся давній звичай: коли зводили нову оселю, то перед уходинами до світлиці запускали на ніч когута. Це символізувало, що досвітковий півнячий голос вижене з помешкання нечисту силу, а відтак родина убезпечиться від усіляких негараздів. Тому не дивно, що фронтони на дахах прикрашали різьбленими оберегами цієї птахи; їх вишивали й на рушниках, котрі вивішували над вхідними дверима, а почасти й на покуті, бо, як мовить народна приказка, «без півня і хата глуха».
(35–39) Аж ніяк не всі знають, що чумаки, вирушаючи в Крим по сіль, обов’язково брали з собою й когута. Він не лише вважався охоронцем од нечистої сили, а й був своєрідним будильником, — як птаха проспівала, мандрівники тут же знімали намети й вирушали в дорогу. До речі, у давніші часи, коли не вистачало годинників, досвіток визначали за півнячим кукуріканням.
(40–44) Образ птахи трапляється і в дитячому фольклорі. Пам’ятаєте віршик: «Два півники, два півники горох молотили...»? У казках півень виступає не тільки добрим господарем, але й ревним охоронцем свого чада від підступної лисиці. Не випадково найпопулярнішою іграшкою були півники- свистунці, що їх повсюди в Україні виліплювали з глини народні майстри.
(45–51) Нарешті, півні вважаються своєрідними провісниками й синоптиками. Селяни знали: якщо когут часто кукурікає біля вікна, то це вірна прикмета, що хтось із домашніх помре; коли ж на порозі — прийдуть несподівані гості. На них варто чекати й тоді, коли домашній охоронець обійде довкіл хати та прокукурікає: у який бік спрямує дзьоба, звідтіля і з’являться погостювальники. За таких випадків приказували: «Якщо дорогий гість, то нехай тобі буде золотий хвіст, а якщо буде поганий гість, то нехай одпаде і той хвіст».
(52–56) Загалом, господарі намагались обзавестися домашнім охоронцем, щоб він мав доброчинне оперення, адже кольорова символіка багато важила в українській міфології. Щоби домашній охоронець приносив злагоду та добробут, господарі намагалися обзавестися півнем не будь-якого кольору, а певного оперення — переважно золотавого.
(57–60) Будемо сподіватися, півник і далі приноситиме нам щастя, бо щодосвіта голосисто оповіщатиме нас про народження світлого дня. Одна з народних загадок рече: «Двічі родився, ні разу не хрестився, а чорт його боїться». Так воно й буде!
За В. Скуратівським, журнал «Берегиня»
600 слів
Відповідно до тексту, півень виступає в усіх наведених значеннях, ОКРІМ
",символу вогню,жертви богам,оберега в господарстві,живого годинника,,a
231,"
Прочитайте текст (цифри в дужках позначають номери рядків) і виконайте завдання
Вже треті півні проспівали... 
(1–4) Кожен народ має свої звичаї, сфокусовані на етнічну специфіку. Але останнім часом відбулася відчутна девальвація — потужні країни з міцним корінням традицій «нав’язали» нам свої обряди, котрі значною мірою відрізняються від наших.
(5–8) Нині ледве не в усьому світі символи року позначаються китайською демонологією. Літолік символізують то «дерев’яна мавпа», то «вогняний дракон», то «білий тигр». Натомість єдиний птах у цьому ряду — півень, один з найулюбленіших для українців пернатих.
(9–15) Аби не бути голослівним, згадаймо наші національні традиції. Ще до впровадження християнства наші пращури віддавали цій птасі особливу шану. Якщо в інших народів (зокрема й сусідів-слов’ян) приносили в жертву своїм богам велетенських тварин, а подекуди й людей, то наші дайбожичі на величні свята — лише півнів. Один з літописів засвідчив, що вої на чолі з київським князем Ігорем, пропливаючи на човнах повз Хортицю, зупинялися біля священного капища й залишали півня.
(16–19) Півень як жертва виступає в казках, скажімо, у добре відомій оповіді про Котика й Півника: «Несе мене Лиска за темнії ліси, за синєє море, за крутії гори», — плаче-голосить Півник. У казках відобразилась ідея жертовності заради вічності життя, підтримання усталеного порядку.
(20–25) Чим же заслужив таку шану пернатий? Наші пращури вірили, що півень слугує надійним оберегом у господарстві — «якщо його бракує, то обов’язково заведеться сатана». У дохристиянських віруваннях уважалося, що когут народився з «мертвого» яйця, і тому він, обранець сонячного бога, щодосвіта викликає денне світло. Саме з цією метою люди вважали за обов’язок тримати в господарстві цю провісну птаху.
(26–34) Українці вірили, що чорні сили правують од півночі й до півнячого співу. Щойно зачується кукурікання — зникає всяка нечисть. Не випадково зберігся давній звичай: коли зводили нову оселю, то перед уходинами до світлиці запускали на ніч когута. Це символізувало, що досвітковий півнячий голос вижене з помешкання нечисту силу, а відтак родина убезпечиться від усіляких негараздів. Тому не дивно, що фронтони на дахах прикрашали різьбленими оберегами цієї птахи; їх вишивали й на рушниках, котрі вивішували над вхідними дверима, а почасти й на покуті, бо, як мовить народна приказка, «без півня і хата глуха».
(35–39) Аж ніяк не всі знають, що чумаки, вирушаючи в Крим по сіль, обов’язково брали з собою й когута. Він не лише вважався охоронцем од нечистої сили, а й був своєрідним будильником, — як птаха проспівала, мандрівники тут же знімали намети й вирушали в дорогу. До речі, у давніші часи, коли не вистачало годинників, досвіток визначали за півнячим кукуріканням.
(40–44) Образ птахи трапляється і в дитячому фольклорі. Пам’ятаєте віршик: «Два півники, два півники горох молотили...»? У казках півень виступає не тільки добрим господарем, але й ревним охоронцем свого чада від підступної лисиці. Не випадково найпопулярнішою іграшкою були півники- свистунці, що їх повсюди в Україні виліплювали з глини народні майстри.
(45–51) Нарешті, півні вважаються своєрідними провісниками й синоптиками. Селяни знали: якщо когут часто кукурікає біля вікна, то це вірна прикмета, що хтось із домашніх помре; коли ж на порозі — прийдуть несподівані гості. На них варто чекати й тоді, коли домашній охоронець обійде довкіл хати та прокукурікає: у який бік спрямує дзьоба, звідтіля і з’являться погостювальники. За таких випадків приказували: «Якщо дорогий гість, то нехай тобі буде золотий хвіст, а якщо буде поганий гість, то нехай одпаде і той хвіст».
(52–56) Загалом, господарі намагались обзавестися домашнім охоронцем, щоб він мав доброчинне оперення, адже кольорова символіка багато важила в українській міфології. Щоби домашній охоронець приносив злагоду та добробут, господарі намагалися обзавестися півнем не будь-якого кольору, а певного оперення — переважно золотавого.
(57–60) Будемо сподіватися, півник і далі приноситиме нам щастя, бо щодосвіта голосисто оповіщатиме нас про народження світлого дня. Одна з народних загадок рече: «Двічі родився, ні разу не хрестився, а чорт його боїться». Так воно й буде!
За В. Скуратівським, журнал «Берегиня»
600 слів
Синонімом до слова «доброчинне» (рядок 53) є
",добротне,благотворне,безкорисливе,достойне,,b
